protocol,run_id_unique,source_run_id,test_date_iso,campaign_folder,raw_xml,control_csv,raw_xml_size_bytes
TMCA,2025_12_29_TMCA__AA7075_0.3_2,AA7075_0.3_2,2025-12-29,2025_12_29_TMCA,raw_data/TMCA/2025_12_29_TMCA/AA7075_0.3_2.xml,data/control_csv/tmca_raw/2025_12_29_TMCA/AA7075_0.3_2.csv,11777973
TMCA,2025_12_29_TMCA__AA7075_0.3_3,AA7075_0.3_3,2025-12-29,2025_12_29_TMCA,raw_data/TMCA/2025_12_29_TMCA/AA7075_0.3_3.xml,data/control_csv/tmca_raw/2025_12_29_TMCA/AA7075_0.3_3.csv,11774196
TMCA,2025_12_29_TMCA__AA7075_0.3_H_7,AA7075_0.3_H_7,2025-12-29,2025_12_29_TMCA,raw_data/TMCA/2025_12_29_TMCA/AA7075_0.3_H_7.xml,data/control_csv/tmca_raw/2025_12_29_TMCA/AA7075_0.3_H_7.csv,11796580
TMCA,2025_12_29_TMCA__AA7075_0.3_H_8,AA7075_0.3_H_8,2025-12-29,2025_12_29_TMCA,raw_data/TMCA/2025_12_29_TMCA/AA7075_0.3_H_8.xml,data/control_csv/tmca_raw/2025_12_29_TMCA/AA7075_0.3_H_8.csv,11783106
TMCA,2025_12_29_TMCA__B7F0SL13_5,B7F0SL13_5,2025-12-29,2025_12_29_TMCA,raw_data/TMCA/2025_12_29_TMCA/B7F0SL13_5.xml,data/control_csv/tmca_raw/2025_12_29_TMCA/B7F0SL13_5.csv,11406788
TMCA,2025_12_29_TMCA__Test_4,Test_4,2025-12-29,2025_12_29_TMCA,raw_data/TMCA/2025_12_29_TMCA/Test_4.xml,data/control_csv/tmca_raw/2025_12_29_TMCA/Test_4.csv,11388899
TMCA,2025_12_29_TMCA__test1_4,test1_4,2025-12-29,2025_12_29_TMCA,raw_data/TMCA/2025_12_29_TMCA/test1_4.xml,data/control_csv/tmca_raw/2025_12_29_TMCA/test1_4.csv,11760728
TMCA,2025_12_29_TMCA__test_2,test_2,2025-12-29,2025_12_29_TMCA,raw_data/TMCA/2025_12_29_TMCA/test_2.xml,data/control_csv/tmca_raw/2025_12_29_TMCA/test_2.csv,11674909
TMCA,2025_12_30_TMCA__B6F0SL_2,B6F0SL_2,2025-12-30,2025_12_30_TMCA,raw_data/TMCA/2025_12_30_TMCA/B6F0SL_2.xml,data/control_csv/tmca_raw/2025_12_30_TMCA/B6F0SL_2.csv,11934889
TMCA,2025_12_30_TMCA__B6F0SL_3,B6F0SL_3,2025-12-30,2025_12_30_TMCA,raw_data/TMCA/2025_12_30_TMCA/B6F0SL_3.xml,data/control_csv/tmca_raw/2025_12_30_TMCA/B6F0SL_3.csv,11775533
TMCA,2025_12_30_TMCA__B6F0SL_4,B6F0SL_4,2025-12-30,2025_12_30_TMCA,raw_data/TMCA/2025_12_30_TMCA/B6F0SL_4.xml,data/control_csv/tmca_raw/2025_12_30_TMCA/B6F0SL_4.csv,11776452
TMCA,2025_12_30_TMCA__B6F0SL_5,B6F0SL_5,2025-12-30,2025_12_30_TMCA,raw_data/TMCA/2025_12_30_TMCA/B6F0SL_5.xml,data/control_csv/tmca_raw/2025_12_30_TMCA/B6F0SL_5.csv,11796174
TMCA,2025_12_30_TMCA__B6F0SL_6,B6F0SL_6,2025-12-30,2025_12_30_TMCA,raw_data/TMCA/2025_12_30_TMCA/B6F0SL_6.xml,data/control_csv/tmca_raw/2025_12_30_TMCA/B6F0SL_6.csv,11842071
TMCA,2025_12_30_TMCA__B6F0SL_H_12,B6F0SL_H_12,2025-12-30,2025_12_30_TMCA,raw_data/TMCA/2025_12_30_TMCA/B6F0SL_H_12.xml,data/control_csv/tmca_raw/2025_12_30_TMCA/B6F0SL_H_12.csv,11781747
TMCA,2025_12_30_TMCA__B6F0SL_H_13,B6F0SL_H_13,2025-12-30,2025_12_30_TMCA,raw_data/TMCA/2025_12_30_TMCA/B6F0SL_H_13.xml,data/control_csv/tmca_raw/2025_12_30_TMCA/B6F0SL_H_13.csv,11784851
TMCA,2025_12_30_TMCA__B6F5SL_18,B6F5SL_18,2025-12-30,2025_12_30_TMCA,raw_data/TMCA/2025_12_30_TMCA/B6F5SL_18.xml,data/control_csv/tmca_raw/2025_12_30_TMCA/B6F5SL_18.csv,11779805
TMCA,2025_12_30_TMCA__B6F5SL_19,B6F5SL_19,2025-12-30,2025_12_30_TMCA,raw_data/TMCA/2025_12_30_TMCA/B6F5SL_19.xml,data/control_csv/tmca_raw/2025_12_30_TMCA/B6F5SL_19.csv,11773907
TMCA,2025_12_30_TMCA__B6F5SL_20,B6F5SL_20,2025-12-30,2025_12_30_TMCA,raw_data/TMCA/2025_12_30_TMCA/B6F5SL_20.xml,data/control_csv/tmca_raw/2025_12_30_TMCA/B6F5SL_20.csv,11811177
TMCA,2025_12_30_TMCA__B6F5SL_21,B6F5SL_21,2025-12-30,2025_12_30_TMCA,raw_data/TMCA/2025_12_30_TMCA/B6F5SL_21.xml,data/control_csv/tmca_raw/2025_12_30_TMCA/B6F5SL_21.csv,11810300
