run_id,protocol,control_csv,test_date_iso,condition_id,material_category,base_material,filler_material,weld_process,current_a,voltage_v,heat_input_kj_mm,shielding_gas,preheat_c,spacer_mm,sheet_thickness_mm,k_factor,v_high_mm_s,v_step_mm_s,a_dec_mm_s2,weld_start_method,weld_start_time_s,manual_load_rise_time_s,manual_load_to_start_delay_s,fixed_start_time_s,load_rise_delta_n,load_baseline_window_s,weld_end_time_s,weld_travel_speed_mm_s,speed_transition_weld_length_mm,deceleration_start_weld_length_mm,l_weld_mm,l_crack_mm,l_surf_mm,l_ct_mm,l_star,v_nc_mm_s,crack_state,load_increase_acceptance,include_in_summary,show_temperature,temperature_columns,notes,source_run_id,campaign_folder,raw_xml
2025_12_30_TMCA__B6F5SL_18,TMCA,data/control_csv/tmca_raw/2025_12_30_TMCA/B6F5SL_18.csv,2025-12-30,AA6061_ER5356_160A,Aluminum alloy,AA6061,ER5356,GTAW,160,,,Ar,,3.6,,,0.6389954328741289,0.3,0.004534261776580304,manifest,4.6648974823,,,,,,,2.1,33.18,33.18,139.797,119.91999999999999,153.1,,,0.0441199814218337,,no,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B6F5SL_18,2025_12_30_TMCA,raw_data/TMCA/2025_12_30_TMCA/B6F5SL_18.xml
2025_12_30_TMCA__B6F5SL_19,TMCA,data/control_csv/tmca_raw/2025_12_30_TMCA/B6F5SL_19.csv,2025-12-30,AA6061_ER5356_160A,Aluminum alloy,AA6061,ER5356,GTAW,160,,,Ar,,3.6,,,0.6389974382253402,0.3,0.004543601924967462,manifest,4.5946671355,,,,,,,2.1,33.348,33.348,139.81799999999998,112.35199999999999,145.7,,,0.061310349513939,,almost,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B6F5SL_19,2025_12_30_TMCA,raw_data/TMCA/2025_12_30_TMCA/B6F5SL_19.xml
2025_12_30_TMCA__B6F5SL_20,TMCA,data/control_csv/tmca_raw/2025_12_30_TMCA/B6F5SL_20.csv,2025-12-30,AA6061_ER5356_160A,Aluminum alloy,AA6061,ER5356,GTAW,160,,,Ar,,3.6,,,0.5592109376211593,0.15,0.0022666892338572492,manifest,4.4443182313,,,,,,,2.1,40.677,40.677,139.692,91.82300000000001,132.5,,,0.0526985464904219,,yes,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B6F5SL_20,2025_12_30_TMCA,raw_data/TMCA/2025_12_30_TMCA/B6F5SL_20.xml
2025_12_30_TMCA__B6F5SL_21,TMCA,data/control_csv/tmca_raw/2025_12_30_TMCA/B6F5SL_21.csv,2025-12-30,AA6061_ER5356_160A,Aluminum alloy,AA6061,ER5356,GTAW,160,,,Ar,,3.6,,,0.5592114034544258,0.15,0.002265850009050998,manifest,4.8084426379,,,,,,,2.1,39.9,39.9,139.713,89.5,129.4,,,0.0548818572599874,,yes,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B6F5SL_21,2025_12_30_TMCA,raw_data/TMCA/2025_12_30_TMCA/B6F5SL_21.xml
2026_2_26_TMCA__B6F5SL_25,TMCA,data/control_csv/tmca_raw/2026_2_26_TMCA/B6F5SL_25.csv,2026-02-26,AA6061_ER5356_160A,Aluminum alloy,AA6061,ER5356,GTAW,160,,,Ar,,3.6,,,0.6389944756899829,0.3,0.0045240598984465025,manifest,4.8157612658,,,,,,,2.1,32.864999999999995,32.864999999999995,139.79700000000003,115.43500000000002,148.3,,,0.0539037043953029,,yes,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B6F5SL_25,2026_2_26_TMCA,raw_data/TMCA/2026_2_26_TMCA/B6F5SL_25.xml
2026_2_26_TMCA__B6F5SL_26,TMCA,data/control_csv/tmca_raw/2026_2_26_TMCA/B6F5SL_26.csv,2026-02-26,AA6061_ER5356_160A,Aluminum alloy,AA6061,ER5356,GTAW,160,,,Ar,,3.6,,,0.6390025107877907,0.3,0.004536558142477316,manifest,4.7315957706,,,,,,,2.1,33.053999999999995,33.053999999999995,139.671,114.14599999999999,147.2,,,0.0548702113649261,,almost,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B6F5SL_26,2026_2_26_TMCA,raw_data/TMCA/2026_2_26_TMCA/B6F5SL_26.xml
2026_2_26_TMCA__B6F5SL_3,TMCA,data/control_csv/tmca_raw/2026_2_26_TMCA/B6F5SL_3.csv,2026-03-03,AA6061_ER5356_160A,Aluminum alloy,AA6061,ER5356,GTAW,160,,,Ar,,3.6,,,0.6389971297471326,0.3,0.004532171732006803,manifest,5.0764794146,,,,,,,2.1,32.318999999999996,32.318999999999996,139.77600000000004,108.18100000000001,140.5,,,0.0671605694351392,,yes,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B6F5SL_3,2026_2_26_TMCA,raw_data/TMCA/2026_2_26_TMCA/B6F5SL_3.xml
2026_3_27_TMCA__B6F5SL_14,TMCA,data/control_csv/tmca_raw/2026_3_27_TMCA/B6F5SL_14.csv,2026-03-26,AA6061_ER5356_160A,Aluminum alloy,AA6061,ER5356,GTAW,160,,,Ar,,3.6,,,0.6390141956600264,0.15,0.004509284393047545,manifest,5.1156159274,,,,,,,2.1,32.235,32.235,139.776,109.06500000000001,141.3,,,0.065,,almost,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B6F5SL_14,2026_3_27_TMCA,raw_data/TMCA/2026_3_27_TMCA/B6F5SL_14.xml
2025_12_30_TMCA__B6F0SL_3,TMCA,data/control_csv/tmca_raw/2025_12_30_TMCA/B6F0SL_3.csv,2025-12-30,AA6061_Autogenous_160A,Aluminum alloy,AA6061,Autogenous,GTAW,160,,,Ar,,3.6,,,0.6389962470422642,0.3,0.004549432596623505,manifest,4.827077821,,,,,,,2.1,32.844,32.844,139.818,127.55600000000001,160.4,,,0.0271623401235154,,yes,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B6F0SL_3,2025_12_30_TMCA,raw_data/TMCA/2025_12_30_TMCA/B6F0SL_3.xml
2025_12_30_TMCA__B6F0SL_4,TMCA,data/control_csv/tmca_raw/2025_12_30_TMCA/B6F0SL_4.csv,2025-12-30,AA6061_Autogenous_160A,Aluminum alloy,AA6061,Autogenous,GTAW,160,,,Ar,,3.6,,,0.638992377996954,0.3,0.004537082940516196,manifest,4.9996449445,,,,,,,2.1,32.487,32.487,139.73400000000004,126.513,159.0,,,0.0284893444320005,,almost,yes,auto,auto,prefilled from manuscript processed summary and matching raw metrics JSON,B6F0SL_4,2025_12_30_TMCA,raw_data/TMCA/2025_12_30_TMCA/B6F0SL_4.xml
