run_id,protocol,control_csv,test_date_iso,condition_id,material_category,base_material,filler_material,weld_process,current_a,voltage_v,heat_input_kj_mm,shielding_gas,preheat_c,spacer_mm,sheet_thickness_mm,k_factor,v_high_mm_s,v_step_mm_s,a_dec_mm_s2,weld_start_method,weld_start_time_s,manual_load_rise_time_s,manual_load_to_start_delay_s,fixed_start_time_s,load_rise_delta_n,load_baseline_window_s,weld_end_time_s,weld_travel_speed_mm_s,speed_transition_weld_length_mm,deceleration_start_weld_length_mm,l_weld_mm,l_crack_mm,l_surf_mm,l_ct_mm,l_star,v_nc_mm_s,crack_state,load_increase_acceptance,include_in_summary,show_temperature,temperature_columns,notes,source_run_id,campaign_folder,raw_xml
10_2025_TMW__B7F0SL5_7,TMW,data/control_csv/tmw_raw/10_2025_TMW/B7F0SL5_7.csv,2025-10-23,AA7075_Autogenous_180A,Aluminum alloy,AA7075,Autogenous,GTAW,180,,,Ar,,,,,,0.05,,manifest,14.468474492004585,,,,,,,2.1,,,,,,,0.0,,,,yes,auto,auto,prefilled from manuscript processed summary; l_star is the measured TMW response,B7F0SL5_7,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F0SL5_7.xml
10_2025_TMW__B7F0SL11_17,TMW,data/control_csv/tmw_raw/10_2025_TMW/B7F0SL11_17.csv,2025-10-23,AA7075_Autogenous_180A,Aluminum alloy,AA7075,Autogenous,GTAW,180,,,Ar,,,,,,0.07,,manifest,13.06133886210653,,,,,,,2.1,,,,,,,0.0,,,,yes,auto,auto,prefilled from manuscript processed summary; l_star is the measured TMW response,B7F0SL11_17,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F0SL11_17.xml
10_2025_TMW__B7F0SL11_14,TMW,data/control_csv/tmw_raw/10_2025_TMW/B7F0SL11_14.csv,2025-10-23,AA7075_Autogenous_180A,Aluminum alloy,AA7075,Autogenous,GTAW,180,,,Ar,,,,,,0.08,,manifest,13.558947560829377,,,,,,,2.1,,,,,,,0.079,,,,yes,auto,auto,prefilled from manuscript processed summary; l_star is the measured TMW response,B7F0SL11_14,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F0SL11_14.xml
10_2025_TMW__B7F0SL3_9,TMW,data/control_csv/tmw_raw/10_2025_TMW/B7F0SL3_9.csv,2025-10-23,AA7075_Autogenous_180A,Aluminum alloy,AA7075,Autogenous,GTAW,180,,,Ar,,,,,,0.1,,manifest,12.853487903225805,,,,,,,2.1,,,,,,,0.599,,,,yes,auto,auto,prefilled from manuscript processed summary; l_star is the measured TMW response,B7F0SL3_9,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F0SL3_9.xml
10_2025_TMW__B7F0SL3_16,TMW,data/control_csv/tmw_raw/10_2025_TMW/B7F0SL3_16.csv,2025-10-23,AA7075_Autogenous_180A,Aluminum alloy,AA7075,Autogenous,GTAW,180,,,Ar,,,,,,0.1,,manifest,13.0171977112261,,,,,,,2.1,,,,,,,0.169,,,,yes,auto,auto,prefilled from manuscript processed summary; l_star is the measured TMW response,B7F0SL3_16,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F0SL3_16.xml
10_2025_TMW__B7F0SL10_13,TMW,data/control_csv/tmw_raw/10_2025_TMW/B7F0SL10_13.csv,2025-10-23,AA7075_Autogenous_180A,Aluminum alloy,AA7075,Autogenous,GTAW,180,,,Ar,,,,,,0.105,,manifest,13.770921975857261,,,,,,,2.1,,,,,,,0.121,,,,yes,auto,auto,prefilled from manuscript processed summary; l_star is the measured TMW response,B7F0SL10_13,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F0SL10_13.xml
10_2025_TMW__B7F0SL6_12,TMW,data/control_csv/tmw_raw/10_2025_TMW/B7F0SL6_12.csv,2025-10-23,AA7075_Autogenous_180A,Aluminum alloy,AA7075,Autogenous,GTAW,180,,,Ar,,,,,,0.11,,manifest,13.813944361342347,,,,,,,2.1,,,,,,,1.0,,,,yes,auto,auto,prefilled from manuscript processed summary; l_star is the measured TMW response,B7F0SL6_12,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F0SL6_12.xml
10_2025_TMW__B7F0SL7_15,TMW,data/control_csv/tmw_raw/10_2025_TMW/B7F0SL7_15.csv,2025-10-23,AA7075_Autogenous_180A,Aluminum alloy,AA7075,Autogenous,GTAW,180,,,Ar,,,,,,0.115,,manifest,12.866031630056579,,,,,,,2.1,,,,,,,1.0,,,,yes,auto,auto,prefilled from manuscript processed summary; l_star is the measured TMW response,B7F0SL7_15,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F0SL7_15.xml
10_2025_TMW__B7F0SL12_2,TMW,data/control_csv/tmw_raw/10_2025_TMW/B7F0SL12_2.csv,2025-10-24,AA7075_Autogenous_180A,Aluminum alloy,AA7075,Autogenous,GTAW,180,,,Ar,,,,,,0.13,,manifest,11.640002692914285,,,,,,,2.1,,,,,,,1.0,,,,yes,auto,auto,prefilled from manuscript processed summary; l_star is the measured TMW response,B7F0SL12_2,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F0SL12_2.xml
10_2025_TMW__B7F0PHSL2_18,TMW,data/control_csv/tmw_raw/10_2025_TMW/B7F0PHSL2_18.csv,2025-10-23,AA7075_Autogenous_180A_90Cpreheat,Aluminum alloy,AA7075,Autogenous,GTAW,180,,,Ar,90.0,,,,,0.05,,manifest,13.973701549899188,,,,,,,2.1,,,,,,,0.0,,,,yes,auto,auto,prefilled from manuscript processed summary; l_star is the measured TMW response,B7F0PHSL2_18,10_2025_TMW,raw_data/TMW/10_2025_TMW/B7F0PHSL2_18.xml
