Test Name,Date,Base Material,Filler Material,V_step [mm/sec],Current [A],Spacer [mm],Load increas accepted?,End Crack position [mm],V_Measured [mm/sec]
B6F5SL_18,46021,6061,5356,0.3,160,3.6,no,153.1,0.0441199814218337
B6F5SL_19,46021,6061,5356,0.3,160,3.6,almost,145.7,0.061310349513939
B6F5SL_20,46021,6061,5356,0.15,160,3.6,yes,132.5,0.0526985464904219
B6F5SL_21,46021,6061,5356,0.15,160,3.6,yes,129.4,0.0548818572599874
B6F5SL_25,46079,6061,5356,0.3,160,3.6,yes,,0.0539037043953029
B6F5SL_26,46079,6061,5356,0.3,160,3.6,almost,,0.0548702113649261
B6F5SL_3,46084,6061,5356,0.3,160,3.6,yes,,0.0671605694351392
B6F5SL_14,46107,6061,5356,0.15,160,3.6,almost,141.3,0.065
B6F0SL_3,46021,6061,,0.3,160,3.6,yes,160.4,0.0271623401235154
B6F0SL_4,46021,6061,,0.3,160,3.6,almost,159,0.0284893444320005
B6F0SL_5,46021,6061,,0.2,160,3.6,no,159,0.0232227160586256
B6F0SL_6,46021,6061,,0.1,160,3.6,yes,143,0.0296426887352533
B6F0SL_H_12,46021,6061,,0.3,160,3.6,no,159.7,0.0279697693446978
B6F0SL_H_13,46021,6061,,0.3,160,3.6,no,157.1,0.0322797251095087
B6F0SL_22,46079,6061,,0.3,160,3.6,no,,0.0185319919112529
B6F0SL_23,46079,6061,,0.3,160,3.6,no,,0.0213714017669575
B6F0SL_H_21,46110,6061,,0.3,160,3.6,almost,155.9,0.0293275434656853
B6F0SL_H_22,46110,6061,,0.3,160,3.6,almost,152.6,0.035375701049065
B6F0SL_20,46111,6061,,0.3,160,3.6,almost,153.17,0.038
B6F5SL_24,46027,6061,5356,0.3,180,3.6,no,148.4,0.0531103423764445
B6F5SL_25,46027,6061,5356,0.15,180,3.6,no,134.2,0.0480175921421005
B6F5SL_26,46027,6061,5356,0.15,180,3.6,almost,141.14,0.0403531841090457
B7F0SL_15,46108,7075,,0.3,160,3.8,almost,150.9,0.047
B7F0SL_2,46096,7075,,0.3,180,4,no,147.9,0.0544791742039699
B7F0SL_27,46027,7075,,0.3,180,3.8,no,150.9,0.0498275008804263
B7F0SL_28,46027,7075,,0.3,180,3.8,no,149.27,0.0497409663619248
B7F0SL_3,46096,7075,,0.3,180,4,yes,146.8,0.0568676922537405
B7F0SL_4,46096,7075,,0.3,180,4,yes,142.3,0.06424548792439
B7F0SL_5,46096,7075,,0.3,160,4,yes,138.3,0.0736041193500732
B7F0SL_6,46096,7075,,0.3,160,4,no,158.5,0.0302383811703999
B7F0SL_7,46021,7075,,0.3,160,3.8,no,149.7,0.0495908185042265
B7F0SL_7,46096,7075,,0.3,160,4,no,147.7,0.0510702319138251
B7F0SL_8,46021,7075,,0.3,160,3.8,yes,132.2,0.0825375873889013
B7F0SL_9,46021,7075,,0.3,160,3.8,yes,129.2,0.0905258131271352
B7F0SL_H_11,46021,7075,,0.3,160,3.8,yes,152.2,0.0440211843592647
B7F0SL_H_16 ,46108,7075,,0.3,160,3.8,no,152.2,0.044
B7F0SL_H_17,46108,7075,,0.3,160,3.8,yes,152.4,0.042
B7F5SL_10,46096,7075,5356,0.3,180,4,no,116.3,0.117752725210018
B7F5SL_11,46097,7075,5356,0.3,160,4,yes,132.8,0.0858081110447386
B7F5SL_12,46097,7075,5356,0.3,160,4,no,144.3,0.0609276405362062
B7F5SL_13,46097,7075,5356,0.3,160,4,almost,137.46,0.0758356599333711
B7F5SL_16,46021,7075,5356,0.3,160,3.8,no,146.2,0.0589636678532254
B7F5SL_17,46021,7075,5356,0.3,160,3.8,almost,137.5,0.0764443150254811
B7F5SL_22,46027,7075,5356,0.3,180,3.8,yes,133.6,0.0851680670922688
B7F5SL_23,46027,7075,5356,0.3,180,3.8,yes,130,0.088398442048285
B7F5SL_7,46087,7075,5356,0.3,180,3.8,yes,122.2,0.105066937168526
B7F5SL_8,46087,7075,5356,0.3,180,3.8,almost,126.7,0.097110896948816
B7F5SL_8,46096,7075,5356,0.3,180,4,no,152.3,0.0454226995816151
B7F5SL_9,46096,7075,5356,0.3,180,4,no,145,0.0610603798157852
B7FT7SL_14,46021,7075,7075TiC,0.3,180,3.8,yes,128,0.0944110322934733
B7FT7SL_15,46021,7075,7075TiC,0.3,180,3.8,yes,130.9,0.0917884978936497
B7FT7SL_19,46110,7075,7075TiC,0.3,180,3.8,yes,126.3,0.0939303065356176
